Domain,Name,Industry,Company Size,Score,Grade,Email Count,Factor 1 Name,Factor 1 Score,Factor 2 Name,Factor 2 Score,Factor 3 Name,Factor 3 Score,Factor 4 Name,Factor 4 Score,Factor 5 Name,Factor 5 Score,Factor 6 Name,Factor 6 Score,Factor 7 Name,Factor 7 Score,Factor 8 Name,Factor 8 Score,Factor 9 Name,Factor 9 Score,Factor 10 Name,Factor 10 Score,Breach 1 Date,Breach 1 Type,Breach 1 Link,Factor 1 Name,Factor 1 Score,Factor 2 Name,Factor 2 Score,Factor 3 Name,Factor 3 Score,Factor 4 Name,Factor 4 Score,Factor 5 Name,Factor 5 Score,Factor 6 Name,Factor 6 Score,Factor 7 Name,Factor 7 Score,Factor 8 Name,Factor 8 Score,Factor 9 Name,Factor 9 Score,Factor 10 Name,Factor 10 Score,Breach 1 Date,Breach 1 Type,Breach 1 Link,Breach 2 Date,Breach 2 Type,Breach 2 Link,Breach 3 Date,Breach 3 Type,Breach 3 Link,Breach 4 Date,Breach 4 Type,Breach 4 Link,Breach 5 Date,Breach 5 Type,Breach 5 Link
aviva.com,Aviva,financial_services,size_more_than_10000,92,A,1,application_security,90,cubit_score,100,dns_health,99,endpoint_security,100,hacker_chatter,100,ip_reputation,100,leaked_information,100,network_security,88,patching_cadence,97,social_engineering,100,2015-10-20T00:00:00.000Z,breach,http://www.krollontrack.co.uk/company/press-room/legal-technologies-news/aviva-reveals-details-of-second-data-breach-584.aspx,application_security,90,cubit_score,100,dns_health,99,endpoint_security,100,hacker_chatter,100,ip_reputation,100,leaked_information,100,network_security,88,patching_cadence,97,social_engineering,100,2015-10-20T00:00:00.000Z,breach,http://www.krollontrack.co.uk/company/press-room/legal-technologies-news/aviva-reveals-details-of-second-data-breach-584.aspx,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
barclays.co.uk,Barclays,financial_services,size_more_than_10000,88,B,2,application_security,86,cubit_score,100,dns_health,73,endpoint_security,100,hacker_chatter,100,ip_reputation,93,leaked_information,100,network_security,87,patching_cadence,89,social_engineering,100,2014-02-08T06:00:00.000Z,breach,http://www.theregister.co.uk/2014/02/10/barclays_investigates_gold_mine_client_data_breach/,application_security,86,cubit_score,100,dns_health,73,endpoint_security,100,hacker_chatter,100,ip_reputation,93,leaked_information,100,network_security,87,patching_cadence,89,social_engineering,100,2014-02-08T06:00:00.000Z,breach,http://www.theregister.co.uk/2014/02/10/barclays_investigates_gold_mine_client_data_breach/,2014-03-30T05:00:00.000Z,breach,http://www.grimsbytelegraph.co.uk/Bank-customers-hit-data-theft-slam-chicken-feed/story-20882132-detail/story.html,2015-05-06T05:00:00.000Z,breach,http://www.stokesentinel.co.uk/Staffordshire-Police-warning-discovery-skimming/story-26434512-detail/story.html,2017-11-10T00:00:00.000Z,breach,https://www.theguardian.com/money/2017/nov/10/barclays-posts-pin-numbers-with-debit-cards,2022-09-23T00:00:00.000Z,breach,https://www.mass.gov/doc/data-breach-report-2022/download
